#Meteo hourly data
#Site, Solcast_site_16.377522_49.101445
#Country, Czechia
#Data Source, Solcast https://solcast.com
#Time step, 1
#Latitude, 49.1014
#Longitude, 16.3775
#Altitude, 212
#Time Zone, 1.0
Year,Month,Day,Hour,Minute,Tamb,Azimuth,Cloudopacity,DewPoint,DHI,DNI,EBH,GHI,Pw,SnowDepth,Pressure,WindDir,WindVel,AlbedoDaily,Zenith
Year,Month,Day,Hour,Minute,[deg C],[degree],[%],[deg C],[W/m2],[W/m2],[W/m2],[W/m2],[cm],[cm],[mbar],[degree],[m/s],[],[degree]
2020,1,1,0,0,1.1,-17,0.0,-1.4,0,0,0,0,0.57,0.0,992.8,326,4.1,0.18,153
2020,1,1,1,0,0.7,-43,0.0,-1.5,0,0,0,0,0.59,0.0,993.0,324,3.5,0.18,148
2020,1,1,2,0,0.3,-63,0.0,-1.7,0,0,0,0,0.6,0.0,993.0,320,2.6,0.18,140
2020,1,1,3,0,-0.1,-78,0.0,-1.8,0,0,0,0,0.62,0.0,993.1,310,2.1,0.18,131
2020,1,1,4,0,-0.4,-90,0.0,-2.0,0,0,0,0,0.66,0.0,993.1,299,1.9,0.18,121
2020,1,1,5,0,-0.7,-101,0.0,-2.1,0,0,0,0,0.7,0.0,993.2,291,1.8,0.18,112
2020,1,1,6,0,-0.8,-111,0.0,-2.0,0,0,0,0,0.74,0.0,993.5,282,1.9,0.18,102
2020,1,1,7,0,-0.7,-122,0.0,-1.9,0,2,0,1,0.76,0.0,993.7,276,2.0,0.18,93
2020,1,1,8,0,-0.4,-134,0.0,-1.8,22,273,29,50,0.77,0.0,993.9,279,2.2,0.18,86
2020,1,1,9,0,0.6,-146,0.0,-1.6,43,581,109,152,0.76,0.0,994.1,286,2.6,0.18,79
2020,1,1,10,0,1.8,-159,0.0,-1.5,50,711,186,236,0.75,0.0,994.3,295,2.8,0.18,75
2020,1,1,11,0,2.8,-174,0.0,-1.3,53,757,227,279,0.76,0.0,994.5,303,2.8,0.18,73
2020,1,1,12,0,3.3,172,0.0,-1.0,52,756,225,277,0.8,0.0,994.4,300,2.8,0.18,73
2020,1,1,13,0,3.3,158,6.4,-0.7,70,562,145,216,0.84,0.0,993.7,296,2.8,0.18,75
2020,1,1,14,0,2.7,145,25.5,-0.6,90,94,18,108,0.87,0.0,993.2,303,2.4,0.18,80
2020,1,1,15,0,1.4,132,4.0,-0.9,22,194,18,40,0.87,0.0,993.2,316,2.1,0.18,86
2020,1,1,16,0,0.3,121,0.0,-1.4,0,0,0,0,0.86,0.0,993.3,322,2.0,0.18,94
2020,1,1,17,0,-0.3,110,0.0,-1.9,0,0,0,0,0.8,0.0,993.5,321,1.6,0.18,103
2020,1,1,18,0,-0.6,100,0.0,-2.2,0,0,0,0,0.67,0.0,994.0,313,1.2,0.18,113
2020,1,1,19,0,-0.8,89,0.0,-2.5,0,0,0,0,0.55,0.0,994.3,297,1.1,0.18,122
2020,1,1,20,0,-0.9,76,0.0,-2.9,0,0,0,0,0.49,0.0,994.0,293,1.1,0.18,132
2020,1,1,21,0,-1.0,61,0.0,-3.3,0,0,0,0,0.46,0.0,993.7,296,1.1,0.18,141
2020,1,1,22,0,-1.0,41,0.0,-3.8,0,0,0,0,0.44,0.0,993.6,300,1.0,0.18,149
2020,1,1,23,0,-1.0,14,0.0,-4.3,0,0,0,0,0.43,0.0,993.7,309,0.8,0.18,153
2020,1,2,0,0,-0.9,-17,0.0,-5.0,0,0,0,0,0.42,0.0,993.4,321,0.9,0.18,153
2020,1,2,1,0,-0.8,-43,0.0,-5.7,0,0,0,0,0.41,0.0,992.9,327,0.8,0.18,148
2020,1,2,2,0,-0.8,-63,0.0,-6.2,0,0,0,0,0.39,0.0,992.4,337,0.4,0.18,140
2020,1,2,3,0,-0.8,-78,0.0,-6.6,0,0,0,0,0.37,0.0,992.1,25,0.3,0.18,131
2020,1,2,4,0,-0.8,-90,0.0,-6.8,0,0,0,0,0.37,0.0,992.1,80,0.5,0.18,121
2020,1,2,5,0,-1.0,-101,0.0,-6.8,0,0,0,0,0.37,0.0,992.1,106,0.6,0.18,112
2020,1,2,6,0,-1.3,-111,0.0,-7.0,0,0,0,0,0.37,0.0,992.3,151,0.3,0.18,102
2020,1,2,7,0,-1.4,-122,0.0,-7.3,0,4,0,1,0.36,0.0,992.1,230,0.6,0.18,93
2020,1,2,8,0,-0.8,-134,0.7,-7.4,20,355,37,56,0.36,0.0,991.5,248,0.9,0.18,86
2020,1,2,9,0,0.6,-146,2.5,-7.3,44,624,116,160,0.36,0.0,991.4,158,0.1,0.18,79
2020,1,2,10,0,1.9,-159,3.0,-7.0,59,701,184,242,0.35,0.0,991.6,109,0.9,0.18,75
2020,1,2,11,0,2.7,-173,1.1,-6.7,53,794,239,292,0.35,0.0,991.4,118,1.1,0.18,72
2020,1,2,12,0,3.1,172,7.4,-6.4,87,616,184,272,0.35,0.0,990.9,120,1.1,0.18,73
2020,1,2,13,0,3.0,158,14.1,-5.9,105,410,104,209,0.35,0.0,990.1,124,1.0,0.18,75
2020,1,2,14,0,2.2,145,2.1,-5.4,40,623,112,153,0.36,0.0,989.2,130,1.1,0.18,80
2020,1,2,15,0,0.7,132,0.3,-5.7,17,310,31,48,0.37,0.0,988.6,131,1.1,0.18,86
2020,1,2,16,0,-0.5,121,0.0,-5.9,0,0,0,0,0.37,0.0,988.6,125,1.0,0.18,94
2020,1,2,17,0,-0.9,110,0.0,-5.9,0,0,0,0,0.38,0.0,988.7,134,0.9,0.18,103
2020,1,2,18,0,-1.1,100,0.0,-5.8,0,0,0,0,0.39,0.0,989.0,158,1.0,0.18,112
2020,1,2,19,0,-1.4,89,0.0,-5.7,0,0,0,0,0.4,0.0,989.2,168,1.0,0.18,122
2020,1,2,20,0,-1.5,76,0.0,-5.4,0,0,0,0,0.42,0.0,988.8,152,0.9,0.18,132
2020,1,2,21,0,-1.6,61,0.0,-5.1,0,0,0,0,0.43,0.0,988.5,140,0.9,0.18,141
2020,1,2,22,0,-1.8,41,0.0,-4.8,0,0,0,0,0.44,0.0,988.4,154,0.8,0.18,149
2020,1,2,23,0,-1.9,14,0.0,-4.5,0,0,0,0,0.46,0.0,988.4,159,0.8,0.18,153
2020,1,3,0,0,-2.1,-17,0.0,-4.4,0,0,0,0,0.52,0.0,988.3,157,1.1,0.17,153
2020,1,3,1,0,-2.3,-43,0.0,-4.2,0,0,0,0,0.6,0.0,988.2,163,1.2,0.17,148
2020,1,3,2,0,-2.4,-63,0.0,-4.0,0,0,0,0,0.66,0.0,987.9,164,1.0,0.17,140
2020,1,3,3,0,-2.5,-77,0.0,-3.8,0,0,0,0,0.7,0.0,987.5,159,1.0,0.17,131
2020,1,3,4,0,-2.6,-90,0.0,-3.7,0,0,0,0,0.75,0.0,987.4,159,1.0,0.17,121
2020,1,3,5,0,-2.6,-101,0.0,-3.6,0,0,0,0,0.78,0.0,987.4,167,1.0,0.17,112
2020,1,3,6,0,-2.9,-111,0.0,-3.7,0,0,0,0,0.78,0.0,987.8,184,0.9,0.17,102
2020,1,3,7,0,-3.1,-122,0.0,-3.9,0,2,0,1,0.74,0.0,987.8,180,1.0,0.17,93
2020,1,3,8,0,-2.7,-133,19.0,-3.9,32,34,3,35,0.71,0.0,987.4,160,1.3,0.17,86
2020,1,3,9,0,-1.9,-146,45.8,-4.0,81,0,0,81,0.7,0.0,987.1,160,1.6,0.17,79
2020,1,3,10,0,-1.0,-159,55.9,-4.1,103,0,0,103,0.79,0.0,986.8,165,1.9,0.17,75
2020,1,3,11,0,-0.1,-173,57.7,-4.2,116,0,0,116,0.92,0.0,986.3,171,2.1,0.17,72
2020,1,3,12,0,0.5,172,57.3,-4.2,117,0,0,117,0.94,0.0,985.8,183,2.1,0.17,73
2020,1,3,13,0,0.7,158,53.8,-4.1,104,0,0,104,0.93,0.0,985.1,185,2.2,0.17,75
2020,1,3,14,0,0.5,145,29.9,-3.9,79,100,15,94,1.01,0.0,984.3,173,2.1,0.17,80
2020,1,3,15,0,-0.2,133,30.3,-3.8,28,58,6,34,1.03,0.0,983.8,163,2.1,0.17,86
2020,1,3,16,0,-0.9,121,55.7,-3.8,0,0,0,0,0.95,0.0,983.6,167,2.0,0.17,94
2020,1,3,17,0,-1.1,110,44.6,-3.8,0,0,0,0,0.92,0.0,983.9,187,1.9,0.17,103
2020,1,3,18,0,-0.9,100,37.9,-3.6,0,0,0,0,1.04,0.0,984.3,209,2.2,0.17,112
2020,1,3,19,0,-0.1,89,71.5,-3.4,0,0,0,0,1.26,0.0,984.3,218,2.5,0.17,122
2020,1,3,20,0,1.1,76,65.0,-3.0,0,0,0,0,1.38,0.0,983.8,224,2.7,0.17,132
2020,1,3,21,0,1.9,61,61.3,-2.0,0,0,0,0,1.31,0.0,983.4,237,3.2,0.17,141
2020,1,3,22,0,2.1,41,29.1,-0.9,0,0,0,0,1.21,0.0,983.1,251,3.5,0.17,148
2020,1,3,23,0,2.3,14,0.0,-0.0,0,0,0,0,1.24,0.0,983.2,265,3.6,0.17,153
2020,1,4,0,0,3.0,-16,3.4,0.5,0,0,0,0,1.28,0.0,983.1,267,4.7,0.15,153
2020,1,4,1,0,3.8,-43,0.0,1.0,0,0,0,0,1.3,0.0,982.5,264,5.9,0.15,148
2020,1,4,2,0,4.2,-62,0.0,1.6,0,0,0,0,1.38,0.0,981.9,271,6.0,0.15,140
2020,1,4,3,0,4.6,-77,5.7,2.4,0,0,0,0,1.42,0.0,981.8,280,6.1,0.15,131
2020,1,4,4,0,4.9,-89,66.6,3.0,0,0,0,0,1.37,0.0,982.1,283,5.9,0.15,121
2020,1,4,5,0,4.6,-100,57.5,2.8,0,0,0,0,1.27,0.0,982.4,287,5.1,0.15,112
2020,1,4,6,0,3.9,-111,11.1,2.2,0,0,0,0,1.14,0.0,982.9,296,4.1,0.15,102
2020,1,4,7,0,2.9,-122,37.0,1.2,0,0,0,0,1.02,0.0,983.3,305,3.8,0.15,93
2020,1,4,8,0,2.2,-133,41.6,0.1,26,0,0,26,0.95,0.0,983.7,306,4.4,0.15,86
2020,1,4,9,0,2.4,-146,33.2,-0.1,99,17,3,102,0.9,0.0,983.8,306,4.6,0.15,79
2020,1,4,10,0,3.1,-159,42.5,-0.4,134,2,0,135,0.85,0.0,983.9,299,4.6,0.15,75
2020,1,4,11,0,3.7,-173,43.4,-0.8,158,0,0,158,0.86,0.0,983.8,294,5.0,0.15,72
2020,1,4,12,0,3.9,172,27.4,-1.3,166,116,35,201,0.9,0.0,983.3,295,5.3,0.15,72
2020,1,4,13,0,3.6,158,35.4,-1.5,148,3,1,149,0.96,0.0,982.4,291,5.1,0.15,75
2020,1,4,14,0,3.2,145,29.9,-1.5,91,53,8,99,1.0,0.0,981.4,285,4.7,0.15,80
2020,1,4,15,0,2.6,133,42.5,-1.5,25,68,7,33,1.02,0.0,981.2,282,4.9,0.15,86
